Unnamed: 0,ctry,fh09,polity09,gini,fparl08,mena,lati,cari,east,sovi,afri,corr0509,Unnamed: 13,corr_round,fh_status
3,American Samoa,,,,,0,0,0,0,0,0,0.442990611117933,,0.44,Not categorized
9,Aruba,,,,,0,0,1,0,0,0,1.25515564605686,,1.26,Not categorized
21,Bermuda,,,,,0,0,1,0,0,0,1.30776669040672,,1.31,Not categorized
35,Cayman Islands,,,,,0,0,1,0,0,0,1.15844413885019,,1.16,Not categorized
38,Channel Islands,,,,,0,0,0,0,0,0,,,,Not categorized
62,Faeroe Islands,,,,,0,0,0,0,0,0,,,,Not categorized
66,French Polynesia,,,,,0,0,0,0,0,0,,,,Not categorized
72,Gibraltar,,,,,0,0,0,0,0,0,,,,Not categorized
74,Greenland,,,,,0,0,0,0,0,0,1.1601999622768,,1.16,Not categorized
76,Guam,,,,,0,0,0,0,0,0,0.827849711640908,,0.83,Not categorized
83,"Hong Kong SAR, China",,,43.4,,0,0,0,1,0,0,1.87139335401531,,1.87,Not categorized
91,Isle of Man,,,,,0,0,0,0,0,0,,,,Not categorized
114,"Macao SAR, China",,,,,0,0,0,1,0,0,0.341979482727631,,0.34,Not categorized
125,Mayotte,,,,,0,0,0,0,0,1,,,,Not categorized
138,Netherlands Antilles,,,,,0,0,1,0,0,0,1.21093198126772,,1.21,Not categorized
139,New Caledonia,,,,,0,0,0,0,0,0,-1.03028152828748,,-1.03,Not categorized
144,Northern Mariana Islands,,,,,0,0,0,0,0,0,,,,Not categorized
156,Puerto Rico,,,,,0,0,0,0,0,0,0.66998708318515,,0.67,Not categorized
189,Timor-Leste,,7.0,31.9,29.23,0,0,0,1,0,0,-0.896604588598124,,-0.9,Not categorized
196,Turks and Caicos Islands,,,,,0,0,1,0,0,0,,,,Not categorized
208,Virgin Islands (U.S.),,,,,0,0,0,0,0,0,0.827849711640908,,0.83,Not categorized
209,West Bank and Gaza,,,,,0,0,0,0,0,0,-0.908450896035803,,-0.91,Not categorized
